step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
559,2.17179,0.63158,,
560,1.83051,0.66667,,
561,2.97276,0.57143,,
562,2.6587,0.6,,
563,2.92188,0.57143,,
564,2.79251,0.57143,,
565,2.70823,0.6,,
566,2.93324,0.57143,,
567,2.48282,0.6,,
568,2.57997,0.6,,
569,1.83456,0.66667,,
570,2.5612,0.6,,
571,2.52274,0.6,,
572,2.93416,0.57143,,
573,2.61034,0.6,,
574,2.93143,0.57143,,
575,2.59253,0.6,,
576,2.63838,0.6,,
577,1.7734,0.66667,,
578,2.87397,0.57143,,
579,2.87206,0.57143,,
580,1.86098,0.72727,,
581,2.21808,0.63158,,
582,2.89019,0.57143,,
583,2.85544,0.57143,,
584,2.86428,0.57143,,
585,2.87184,0.57143,,
586,2.58235,0.6,,
587,1.78673,0.66667,,
588,2.57041,0.6,,
589,2.23177,0.63158,,
590,2.18858,0.63158,,
591,2.49927,0.6,,
592,2.59976,0.6,,
593,1.86711,0.66667,,
594,2.11082,0.63158,,
595,2.92539,0.57143,,
596,1.82846,0.66667,,
597,2.85737,0.57143,,
598,2.90739,0.57143,,
599,2.61505,0.6,,
600,3.017,0.57143,,
601,2.6102,0.6,2.58631,0.3
602,2.6371,0.625,,
603,2.51331,0.6,,
604,2.87654,0.57143,,
605,2.23018,0.63158,,
606,2.57537,0.6,,
607,2.83687,0.57143,,
608,2.26087,0.63158,,
609,2.53236,0.6,,
610,2.86358,0.57143,,
611,1.32617,0.70588,,
612,2.56782,0.6,,
613,2.84891,0.57143,,
614,2.62368,0.6,,
615,2.82606,0.54762,,
616,2.92266,0.57143,,
617,2.95619,0.57143,,
618,2.60729,0.6,,
619,2.62954,0.6,,
620,2.99217,0.57143,,
621,2.63203,0.6,,
622,2.54871,0.6,,
623,2.19839,0.63158,,
624,2.23844,0.63158,,
625,2.17129,0.63158,,
626,2.56114,0.6,,
627,2.56264,0.6,,
628,2.24508,0.63158,,
629,2.58043,0.6,,
630,2.88704,0.57143,,
631,1.82034,0.66667,,
632,2.64581,0.6,,
633,2.85394,0.57143,,
634,2.20223,0.63158,,
635,2.8883,0.57143,,
636,2.52976,0.6,,
637,2.91811,0.57143,,
638,2.63879,0.6,,
639,2.17439,0.63158,,
640,2.62896,0.6,,
641,2.89553,0.57143,,
642,2.9687,0.57143,,
643,2.6206,0.575,,
644,2.51615,0.6,,
645,2.64654,0.6,,
646,2.20113,0.63158,,
647,2.28503,0.63158,,
648,2.88377,0.57143,,
649,2.58401,0.575,,
650,2.88472,0.57143,,
651,2.60529,0.625,,
652,2.21356,0.65789,,
653,2.18057,0.63158,,
654,2.53666,0.6,,
655,2.54136,0.6,,
656,2.51332,0.6,,
657,2.93766,0.57143,,
658,2.60291,0.6,,
659,2.22879,0.63158,,
660,2.5092,0.625,,
661,1.81922,0.66667,,
662,2.87712,0.57143,,
663,2.65321,0.6,,
664,1.77766,0.66667,,
665,2.5632,0.6,,
666,2.59907,0.6,,
667,2.56603,0.6,,
668,1.30871,0.73529,,
669,2.49697,0.575,,
670,3.07015,0.57143,,
671,2.91227,0.57143,,
672,2.57487,0.6,,
673,2.85405,0.57143,,
674,2.16467,0.63158,,
675,2.85185,0.57143,,
676,2.88093,0.57143,,
677,2.88916,0.57143,,
678,2.58813,0.6,,
679,2.26473,0.63158,,
680,2.72027,0.6,,
681,1.84009,0.66667,,
682,2.92821,0.57143,,
683,2.56047,0.6,,
684,2.66516,0.6,,
685,1.84282,0.66667,,
686,2.15684,0.63158,,
687,2.59387,0.6,,
688,2.58326,0.6,,
689,2.92262,0.57143,,
690,2.65926,0.6,,
691,2.20143,0.63158,,
692,2.84305,0.57143,,
693,2.89996,0.57143,,
694,2.60634,0.6,,
695,2.87493,0.57143,,
696,2.24348,0.63158,,
697,1.31384,0.70588,,
698,2.54565,0.6,,
699,2.86922,0.57143,,
700,2.89918,0.57143,,
701,2.87321,0.57143,1.91247,0.33333
702,2.55426,0.575,,
703,2.53493,0.6,,
704,2.18462,0.63158,,
705,1.82463,0.66667,,
706,2.55246,0.6,,
707,2.6287,0.6,,
708,2.53151,0.6,,
709,2.92856,0.59524,,
710,2.18896,0.63158,,
711,2.22991,0.63158,,
712,2.53085,0.6,,
713,2.91388,0.57143,,
714,2.56263,0.6,,
715,2.29381,0.63158,,
716,2.24019,0.63158,,
717,2.56951,0.6,,
718,2.88563,0.57143,,
719,2.99397,0.57143,,
720,2.94067,0.57143,,
721,2.19889,0.63158,,
722,2.51806,0.6,,
723,2.53048,0.6,,
724,2.85097,0.59524,,
725,2.94195,0.57143,,
726,1.89085,0.66667,,
727,2.55396,0.6,,
728,2.58053,0.6,,
729,2.53177,0.6,,
730,2.4976,0.6,,
731,2.20781,0.63158,,
732,2.60426,0.6,,
733,2.89558,0.57143,,
734,2.55318,0.6,,
735,2.26312,0.63158,,
736,1.84749,0.66667,,
737,2.83748,0.57143,,
738,2.90357,0.57143,,
739,2.33241,0.63158,,
740,2.1863,0.63158,,
741,2.56523,0.6,,
742,2.53858,0.6,,
743,2.56902,0.6,,
744,2.84845,0.57143,,
745,2.88928,0.59524,,
746,2.82745,0.57143,,
747,3.10046,0.57143,,
748,3.00106,0.57143,,
749,2.56603,0.6,,
750,2.89707,0.57143,,
751,2.54966,0.6,,
752,2.34706,0.63158,,
753,2.5305,0.6,,
754,2.30535,0.63158,,
755,2.16702,0.63158,,
756,2.92401,0.57143,,
757,2.19283,0.63158,,
758,0.95614,0.75,,
759,2.54629,0.6,,
760,1.8292,0.66667,,
761,2.17431,0.63158,,
762,2.19177,0.65789,,
763,2.86614,0.57143,,
764,2.20085,0.65789,,
765,2.53369,0.6,,
766,2.71585,0.6,,
767,2.95253,0.57143,,
768,2.55633,0.625,,
769,2.24487,0.63158,,
770,3.03011,0.58974,,
771,2.51483,0.575,,
772,2.96376,0.57143,,
773,2.24958,0.63158,,
774,2.56526,0.575,,
775,2.32759,0.60526,,
776,2.19714,0.63158,,
777,2.60178,0.6,,
778,2.28112,0.60526,,
779,2.94922,0.57143,,
780,1.38873,0.70588,,
781,2.65963,0.6,,
782,2.87577,0.54762,,
783,1.80821,0.66667,,
784,2.94893,0.57143,,
785,2.90197,0.54762,,
786,2.24148,0.63158,,
787,2.52627,0.6,,
788,2.58955,0.6,,
789,2.60477,0.6,,
790,2.52802,0.6,,
791,2.88561,0.57143,,
792,2.24675,0.63158,,
793,2.57283,0.6,,
794,2.9424,0.57143,,
795,2.17008,0.63158,,
796,2.16621,0.63158,,
797,2.57219,0.6,,
798,2.55465,0.6,,
799,2.90904,0.57143,,
800,1.86792,0.66667,,
801,2.49226,0.6,2.92647,0.28571
802,2.86457,0.57143,,
803,2.26169,0.63158,,
804,2.57985,0.6,,
805,2.54744,0.6,,
806,2.5841,0.6,,
807,2.86311,0.57143,,
808,2.83611,0.57143,,
809,2.21223,0.63158,,
810,2.68195,0.6,,
811,2.91002,0.57143,,
812,2.3005,0.63158,,
813,2.19776,0.63158,,
814,2.55408,0.6,,
815,2.23006,0.63158,,
816,2.91887,0.57143,,
817,2.92519,0.57143,,
818,2.84546,0.57143,,
819,2.92739,0.57143,,
820,2.30203,0.63158,,
821,2.23426,0.63158,,
822,2.23132,0.63158,,
823,2.5673,0.6,,
824,2.5472,0.6,,
825,2.23826,0.63158,,
826,2.16038,0.63158,,
827,2.58064,0.6,,
828,2.14429,0.63158,,
829,2.56617,0.6,,
830,2.84649,0.57143,,
831,2.28839,0.63158,,
832,2.57128,0.6,,
833,2.56024,0.625,,
834,2.20686,0.63158,,
835,1.39228,0.73529,,
836,2.19572,0.63158,,
837,2.27375,0.63158,,
838,2.17934,0.63158,,
839,2.91022,0.57143,,
840,2.28787,0.63158,,
841,2.84223,0.54762,,
842,1.7454,0.66667,,
843,2.57445,0.625,,
844,2.53546,0.6,,
845,2.59307,0.575,,
846,2.56371,0.6,,
847,2.64358,0.575,,
848,2.20158,0.63158,,
849,2.63063,0.6,,
850,2.20387,0.63158,,
851,2.56643,0.6,,
852,2.639,0.6,,
853,2.89599,0.57143,,
854,2.87671,0.54762,,
855,2.69782,0.6,,
856,2.55932,0.6,,
857,2.2273,0.63158,,
858,2.92685,0.57143,,
859,2.17517,0.63158,,
860,2.15105,0.65789,,
861,2.20549,0.63158,,
862,2.90057,0.57143,,
863,2.9354,0.57143,,
864,1.72127,0.66667,,
865,2.92445,0.57143,,
866,2.63559,0.6,,
867,2.55657,0.625,,
868,2.17485,0.63158,,
869,2.59315,0.6,,
870,2.55241,0.6,,
871,2.98135,0.57143,,
872,2.96942,0.57143,,
873,2.55355,0.6,,
874,2.85133,0.57143,,
875,2.85574,0.57143,,
876,1.86444,0.66667,,
877,2.90894,0.57143,,
878,2.60074,0.6,,
879,2.6207,0.6,,
880,2.24668,0.63158,,
881,1.89932,0.66667,,
882,2.54749,0.6,,
883,2.42165,0.63158,,
884,2.97244,0.57143,,
885,2.91106,0.57143,,
886,2.58579,0.6,,
887,1.80579,0.66667,,
888,2.88717,0.57143,,
889,2.54266,0.6,,
890,2.99153,0.57143,,
891,2.26162,0.60526,,
892,2.17606,0.63158,,
893,2.62149,0.6,,
894,2.9088,0.57143,,
895,1.76957,0.66667,,
896,2.87559,0.57143,,
897,2.24987,0.63158,,
898,2.1898,0.63158,,
899,2.89634,0.57143,,
900,2.29015,0.63158,,
901,2.55034,0.6,2.85815,0.28571
902,2.91102,0.57143,,
903,2.93728,0.57143,,
904,2.83036,0.61905,,
905,2.92418,0.57143,,
906,2.59186,0.6,,
907,2.54605,0.6,,
908,2.65432,0.6,,
909,2.52108,0.6,,
910,2.2103,0.63158,,
911,2.22814,0.63158,,
912,2.58572,0.6,,
913,2.87481,0.57143,,
914,2.91846,0.57143,,
915,2.55749,0.6,,
916,2.56889,0.6,,
917,2.528,0.6,,
918,2.54606,0.6,,
919,2.13644,0.63158,,
920,2.95691,0.57143,,
921,2.56778,0.6,,
922,2.19369,0.63158,,
923,2.23472,0.63158,,
924,2.88621,0.57143,,
925,2.67526,0.6,,
926,2.20435,0.63158,,
927,2.29145,0.63158,,
928,2.60269,0.6,,
929,2.8922,0.57143,,
930,1.77613,0.66667,,
931,2.88697,0.57143,,
932,1.80427,0.66667,,
933,1.33186,0.70588,,
934,2.24699,0.63158,,
935,2.89115,0.54762,,
936,2.90955,0.57143,,
937,1.86386,0.69444,,
938,2.62768,0.6,,
939,2.88686,0.52381,,
940,2.20656,0.63158,,
941,1.82143,0.66667,,
942,2.85111,0.59524,,
943,2.65841,0.625,,
944,2.55589,0.6,,
945,2.20773,0.63158,,
946,2.53877,0.6,,
947,2.19309,0.63158,,
948,2.6625,0.6,,
949,2.89648,0.57143,,
950,2.5115,0.6,,
951,2.9096,0.57143,,
952,1.75902,0.66667,,
953,1.3892,0.70588,,
954,2.58168,0.6,,
955,2.61198,0.6,,
956,2.22039,0.63158,,
957,2.55993,0.6,,
958,2.21572,0.63158,,
959,2.28559,0.63158,,
960,2.20953,0.63158,,
961,2.86523,0.57143,,
962,2.57153,0.6,,
963,2.54769,0.6,,
964,2.58482,0.6,,
965,2.92746,0.57143,,
966,2.52613,0.6,,
967,2.87668,0.54762,,
968,2.3761,0.63158,,
969,2.17656,0.63158,,
970,2.17338,0.63158,,
971,1.76403,0.66667,,
972,2.93703,0.57143,,
973,2.16182,0.63158,,
974,2.15461,0.63158,,
975,2.55633,0.6,,
976,2.69399,0.6,,
977,3.08558,0.57143,,
978,1.36922,0.73529,,
979,2.88546,0.57143,,
980,2.19272,0.63158,,
981,2.1853,0.63158,,
982,2.13736,0.63158,,
983,2.19906,0.63158,,
984,2.64599,0.6,,
985,2.93994,0.57143,,
986,2.11557,0.65789,,
987,2.84486,0.57143,,
988,1.79596,0.66667,,
989,2.94382,0.57143,,
990,2.59162,0.575,,
991,2.13357,0.63158,,
992,2.58512,0.575,,
993,2.19365,0.68421,,
994,2.63495,0.6,,
995,1.82636,0.66667,,
996,2.65106,0.6,,
997,2.24862,0.65789,,
998,2.20023,0.63158,,
999,1.45562,0.70588,,
1000,2.87249,0.57143,,
1001,2.86149,0.57143,2.90808,0.28571
1002,2.63395,0.6,,
1003,2.58068,0.625,,
1004,2.24215,0.63158,,
1005,2.93195,0.57143,,
1006,2.97433,0.57143,,
1007,3.05921,0.54762,,
1008,2.28102,0.64865,,
1009,2.17728,0.63158,,
1010,2.9283,0.57143,,
1011,1.83183,0.66667,,
1012,2.66269,0.6,,
1013,1.80078,0.66667,,
1014,2.52283,0.6,,
